 Date__(UT)__HR:MN, , ,            delta,     deldot,  Tru_Anom,
****************************************************************
$$SOE
 2022-Jan-03 07:00, , , 34.2296932815123,-11.9053050,  179.3998,
 2022-Jan-03 08:00, , , 34.2294070252184,-11.8854542,  179.3998,
 2022-Jan-03 09:00, , , 34.2291212467126,-11.8655960,  179.3999,
 2022-Jan-03 10:00, , , 34.2288359461728,-11.8457305,  179.3999,
 2022-Jan-03 11:00, , , 34.2285511237763,-11.8258575,  179.3999,
 2022-Jan-03 12:00, , , 34.2282667796998,-11.8059773,  179.4000,
 2022-Jan-03 13:00, , , 34.2279829141190,-11.7860898,  179.4000,
 2022-Jan-03 14:00, , , 34.2276995272092,-11.7661950,  179.4000,
 2022-Jan-03 15:00, , , 34.2274166191449,-11.7462929,  179.4001,
 2022-Jan-03 16:00, , , 34.2271341900999,-11.7263837,  179.4001,
 2022-Jan-03 17:00, , , 34.2268522402471,-11.7064673,  179.4001,
 2022-Jan-03 18:00, , , 34.2265707697591,-11.6865437,  179.4002,
 2022-Jan-03 19:00, , , 34.2262897788075,-11.6666130,  179.4002,
 2022-Jan-03 20:00, , , 34.2260092675632,-11.6466752,  179.4002,
 2022-Jan-03 21:00, , , 34.2257292361967,-11.6267304,  179.4003,
 2022-Jan-03 22:00, , , 34.2254496848774,-11.6067785,  179.4003,
 2022-Jan-03 23:00, , , 34.2251706137742,-11.5868196,  179.4004,
 2022-Jan-04 00:00, , , 34.2248920230554,-11.5668537,  179.4004,
 2022-Jan-04 01:00, , , 34.2246139128885,-11.5468809,  179.4004,
 2022-Jan-04 02:00, , , 34.2243362834404,-11.5269012,  179.4005,
 2022-Jan-04 03:00, , , 34.2240591348770,-11.5069146,  179.4005,
 2022-Jan-04 04:00, , , 34.2237824673640,-11.4869211,  179.4005,
 2022-Jan-04 05:00, , , 34.2235062810660,-11.4669208,  179.4006,
 2022-Jan-04 06:00, , , 34.2232305761472,-11.4469137,  179.4006,
 2022-Jan-04 07:00, , , 34.2229553527709,-11.4268998,  179.4006,
 2022-Jan-04 08:00, , , 34.2226806110999,-11.4068792,  179.4007,
 2022-Jan-04 09:00, , , 34.2224063512963,-11.3868518,  179.4007,
 2022-Jan-04 10:00, , , 34.2221325735214,-11.3668178,  179.4007,
 2022-Jan-04 11:00, , , 34.2218592779360,-11.3467771,  179.4008,
 2022-Jan-04 12:00, , , 34.2215864647000,-11.3267297,  179.4008,
 2022-Jan-04 13:00, , , 34.2213141339729,-11.3066758,  179.4009,
 2022-Jan-04 14:00, , , 34.2210422859134,-11.2866152,  179.4009,
 2022-Jan-04 15:00, , , 34.2207709206796,-11.2665481,  179.4009,
 2022-Jan-04 16:00, , , 34.2205000384288,-11.2464745,  179.4010,
 2022-Jan-04 17:00, , , 34.2202296393179,-11.2263944,  179.4010,
 2022-Jan-04 18:00, , , 34.2199597235028,-11.2063078,  179.4010,
 2022-Jan-04 19:00, , , 34.2196902911392,-11.1862148,  179.4011,
 2022-Jan-04 20:00, , , 34.2194213423816,-11.1661153,  179.4011,
 2022-Jan-04 21:00, , , 34.2191528773845,-11.1460094,  179.4011,
 2022-Jan-04 22:00, , , 34.2188848963013,-11.1258972,  179.4012,
 2022-Jan-04 23:00, , , 34.2186173992848,-11.1057786,  179.4012,
 2022-Jan-05 00:00, , , 34.2183503864875,-11.0856538,  179.4012,
 2022-Jan-05 01:00, , , 34.2180838580608,-11.0655226,  179.4013,
 2022-Jan-05 02:00, , , 34.2178178141559,-11.0453852,  179.4013,
 2022-Jan-05 03:00, , , 34.2175522549231,-11.0252415,  179.4013,
 2022-Jan-05 04:00, , , 34.2172871805123,-11.0050916,  179.4014,
 2022-Jan-05 05:00, , , 34.2170225910725,-10.9849356,  179.4014,
 2022-Jan-05 06:00, , , 34.2167584867525,-10.9647733,  179.4015,
 2022-Jan-05 07:00, , , 34.2164948677001,-10.9446050,  179.4015,
 2022-Jan-05 08:00, , , 34.2162317340626,-10.9244305,  179.4015,
 2022-Jan-05 09:00, , , 34.2159690859870,-10.9042499,  179.4016,
